StockNumber,StockScore,StockClose,StockVolume
1702.TW,17.910496544456375,50.5,398.441
6670.TW,17.85065157750343,216.0,92.288
2106.TW,17.831731677443685,38.049999,430.554
2312.TW,17.831001415252683,12.8,4412.365
8499.TW,17.659245527649905,131.0,41.118
3015.TW,17.57966784022881,41.150002,202.22
6768.TW,17.53862876036845,72.0,75.0
3321.TW,17.531140849219383,13.35,403.526
1438.TW,17.526527320141973,30.049999,26.0
3419.TW,17.417814816843986,18.549999,830.689
6277.TW,17.399935364659886,83.5,54.356
1439.TW,17.266014286007525,23.450001,16.141
2392.TW,17.11684502701505,40.400002,1609.373
3266.TW,17.094078063964847,12.8,40.0
00671R.TW,17.09017211421059,5.46,5132.0
3481.TW,17.08994268123481,18.6,159893.464
1817.TW,17.066000658111147,38.0,105.041
1582.TW,17.038682332492055,82.099998,205.063
3596.TW,17.025909207468178,97.300003,2347.83
2881B.TW,16.987853266408898,61.5,135.825
8028.TW,16.93853214635816,50.5,1255.438
6153.TW,16.886718113083518,29.25,1871.113
9188.TW,16.856490190808927,3.05,225.0
4576.TW,16.83490209803091,116.5,110.844
00661.TW,16.815364970413377,34.150002,25.0
8201.TW,16.751071673525363,10.8,30.309
8210.TW,16.726094071206685,74.599998,91.0
4755.TW,16.71587141326257,61.0,23.1
912000.TW,16.709709853490356,2.95,833.325
3380.TW,16.689848704977813,28.1,1263.43
9933.TW,16.659966642957794,38.25,2331.087
4532.TW,16.65301957628032,20.200001,376.1
2543.TW,16.581122816605287,7.58,10.009
2603.TW,16.563199947271016,132.0,771825.003
8466.TW,16.558449576246986,55.099998,37.0
4999.TW,16.54023594464017,45.150002,149.129
2451.TW,16.52295471938774,70.0,510.574
6412.TW,16.515580093296613,69.400002,116.703
00657.TW,16.48253975768809,33.349998,102.0
3060.TW,16.466314945249998,24.35,2598.157
6592.TW,16.412089625135202,86.0,932.915
2376.TW,16.371285514624997,100.0,4772.325
6416.TW,16.34442338516068,115.0,236.203
1905.TW,16.303152673010388,25.5,7465.422
1525.TW,16.27362176092213,69.0,209.001
2882B.TW,16.254749799721424,61.400002,48.166
5234.TW,16.19673492641538,89.699997,102.575
9942.TW,16.152303520029044,95.699997,283.557
4766.TW,16.152083333333334,150.0,66.055
4306.TW,16.124768291796702,17.1,2529.441
